UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0021740F;BTS - Production - Conception et Réalisation de Systèmes Automatiques - en apprentissage;32211020111;19;Apprentissage;12;32020111;32020111;FAUX;32211020111
0021740F;BTS - Production - Electrotechnique - en apprentissage;32211025520;42;Apprentissage;10;32025520;32025520;FAUX;32211025520
0021740F;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;18;Apprentissage;12;32025014;32025014;FAUX;32211025014
0021740F;BTS - Services - Gestion de la PME - en apprentissage;32211031409;61;Apprentissage;18;32031409;32031409;FAUX;32211031409
0021740F;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;63;Apprentissage;18;32031213;32031213;FAUX;32211031213
0021796S;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;20;Apprentissage;12;32025415;32025415;FAUX;32211025415
0021796S;BTS - Production - Electrotechnique - en apprentissage;32211025520;25;Apprentissage;10;32025520;32025520;FAUX;32211025520
0021796S;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;25;Apprentissage;12;32025014;32025014;FAUX;32211025014
0021818R;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;60;Apprentissage;24;32021014;32021014;FAUX;32212021014
0021818R;BTS - Agricole - génie des équipements agricoles - en apprentissage;32212021007;53;Apprentissage;24;32021007;32021007;FAUX;32212021007
0021818R;BTS - Agricole - Gestion et protection de la nature;32212021308;238;Scolaire;34;32021308;32021308;FAUX;32212021308
0021869W;BTS - Services - Management en hôtellerie restauration;32211033422;23;Scolaire;18;32033422;32033422;FAUX;32211033422
0021872Z;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;60;Apprentissage;25;32031213;32031213;FAUX;32211031213
0021873A;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;57;Apprentissage;15;32031408;32031408;FAUX;32211031408
0021873A;BTS - Services - Gestion de la PME;32211031409;98;Scolaire;28;32031409;32031409;FAUX;32211031409
0021873A;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;84;Apprentissage;15;32031213;32031213;FAUX;32211031213
0021874B;BTS - Services - Assurance;32211031311;116;Scolaire;18;32031311;32031311;FAUX;32211031311
0021874B;BTS - Services - Communication;32211032002;174;Scolaire;35;32032002;32032002;FAUX;32211032002
0021874B;BTS - Services - Management Commercial Opérationnel;32211031213;86;Scolaire;18;32031213;32031213;FAUX;32211031213
