UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0341821V;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;72;Apprentissage;22
0341821V;BTS - Services - Tourisme - en apprentissage;32211033426;168;Apprentissage;32
0341821V;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;107;Apprentissage;64
0134280G;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;26;Apprentissage;16
0134280G;BTS - Services - Gestion de la PME - en apprentissage;32211031409;28;Apprentissage;20
0561456D;BTS - Agricole - génie des équipements agricoles - en apprentissage;32212021007;82;Apprentissage;25
0062221G;BTS - Services - Gestion de la PME - en apprentissage;32211031409;62;Apprentissage;20
0313002V;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;301;Apprentissage;150
0313002V;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;393;Apprentissage;100
0313002V;BTS - Services - Gestion de la PME - en apprentissage;32211031409;199;Apprentissage;100
0134334R;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;49;Apprentissage;10
0133787W;BTS - Services - Communication - en apprentissage;32211032003;176;Apprentissage;12
0756180K;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;204;Apprentissage;56
0133787W;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;149;Apprentissage;12
0694061P;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;113;Apprentissage;25
0942263Z;BTS - Services - Tourisme - en apprentissage;32211033426;163;Apprentissage;40
