Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session;Commentaire
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25213 M;BTS;Techniques et services en matériels agricoles;1019;2013-04-08;2015;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23107 S;BTS;Travaux publics;1109;2011-06-23;2013;2024;est remplacé par le 320-23206 S
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 3;500-25305 M;CAP;Aéronautique option avionique;37700;2013-08-19;2015;;.
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 3;500-34307 T;CAP;Agent de propreté et d'hygiène;24655;2013-12-23;2016;;rénovation
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-34405 T;CAP;Agent de sécurité;18620;2010-04-21;2012;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24130 V;CAP;Arts de la dentelle option fuseaux;35640;2004-07-29;2005;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22428 V;CAP;Arts du verre et du cristal;36426;2009-06-30;2011;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32311 V;CAP;Assistant technique en instruments de musique option instruments à vent;36255;2001-09-05;2003;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32312 V;CAP;Assistant technique en instruments de musique option piano;36255;2001-09-05;2003;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;50022143T;CAP;Boucher;37535;2023-02-28;2025;;remplace le 500-22135 T
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22349 V;CAP;Bronzier option A - monteur en bronze;530;1977-07-13;1979;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22510 S;CAP;Composites, plastiques chaudronnés;1167;2000-08-21;2002;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23120 S;CAP;Constructeur de routes et d'aménagements urbains;35888;2021-03-30;2023;;Remplace le n°500-23115
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24313 S;CAP;Cordonnier bottier;37366;1993-07-07;1995;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22140 S;CAP;Crémier fromager;37533;2017-07-04;2020;;.
