code_rome;code_fiche_metier;code_ogr;libelle_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;code_rome_parent
H2802;366;274;Conduite d'installation de production de matériaux de construction;;;;;;
H2803;368;275;Façonnage et émaillage en industrie céramique;;;;;;
H2804;364;276;Pilotage de centrale à béton prêt à l'emploi, ciment, enrobés et granulats;;;;;;
H2805;361;277;Pilotage d'installation de production verrière;;;;;;
H2901;385;278;Ajustement et montage de fabrication;;;;;;
H2902;601;279;Chaudronnerie - tôlerie;;;;;;
H2903;377;280;Conduite d'équipement d'usinage;;;;;;
H2904;374;281;Conduite d'équipement de déformation des métaux;;;;;;
H2905;373;282;Conduite d'équipement de formage et découpage des matériaux;;;;;;
H2906;371;283;Conduite d'installation automatisée ou robotisée de fabrication mécanique;;;;;;
H2907;389;284;Conduite d'installation de production des métaux;;;;;;
H2908;391;285;Modelage de matériaux non métalliques;;;;;;
H2909;378;286;Montage-assemblage mécanique;;;;;;
H2910;393;287;Moulage sable;;;;;;
H2911;382;288;Réalisation de structures métalliques;;;;;;
H2912;387;289;Réglage d'équipement de production industrielle;;;;;;
H2913;380;290;Soudage manuel;;;;;;
H2914;384;291;Réalisation et montage en tuyauterie;;;;;;
H3101;396;292;Conduite d'équipement de fabrication de papier ou de carton;;;;;;
H3102;395;293;Conduite d'installation de pâte à papier;;;;;;
H3201;401;294;Conduite d'équipement de formage des plastiques et caoutchoucs;;;;;;
H3202;402;295;Réglage d'équipement de formage des plastiques et caoutchoucs;;;;;;
H3203;398;296;Fabrication de pièces en matériaux composites;;;;;;
H3301;404;297;Conduite d'équipement de conditionnement;;;;;;
H3302;405;298;Opérations manuelles d'assemblage, tri ou emballage;;;;;;
H3303;407;299;Préparation de matières et produits industriels (broyage, mélange, ...);;;;;;
H3401;414;300;Conduite de traitement d'abrasion de surface;;;;;;
H3402;410;301;Conduite de traitement par dépôt de surface;;;;;;
H3403;409;302;Conduite de traitement thermique;;;;;;
H3404;411;303;Peinture industrielle;;;;;;
I1101;239;304;Direction et ingénierie en entretien infrastructure et bâti;;;;;;
I1102;236;305;Management et ingénierie de maintenance industrielle;;;;;;
I1103;583;306;Supervision d'entretien et gestion de véhicules;;;;;;
I1201;246;307;Entretien d'affichage et mobilier urbain;;;;;;
I1202;243;308;Entretien et surveillance du tracé routier;;;;;;
I1203;241;309;Maintenance des bâtiments et des locaux;;;;;;
I1301;260;310;Installation et maintenance d'ascenseurs;;;;;;
I1302;258;311;Installation et maintenance d'automatismes;;;;;;
I1303;248;312;Installation et maintenance de distributeurs automatiques;;;;;;
I1304;256;313;Installation et maintenance d'équipements industriels et d'exploitation;;;;;;
I1305;265;314;Installation et maintenance électronique;;;;;;
I1306;263;315;Installation et maintenance en froid, conditionnement d'air;;;;;;
I1307;253;316;Installation et maintenance télécoms et courants faibles;;;;;;
I1308;261;317;Maintenance d'installation de chauffage;;;;;;
I1309;251;318;Maintenance électrique;;;;;;
I1310;249;319;Maintenance mécanique industrielle;;;;;;
I1401;267;320;Maintenance informatique et bureautique;;O;;;;
I1402;271;321;Réparation de biens électrodomestiques et multimédia;;;;;;
I1501;275;322;Intervention en grande hauteur;;;;;;
I1502;277;323;Intervention en milieu subaquatique;;;;;;
I1503;273;324;Intervention en milieux et produits nocifs;;;;;;
I1601;279;325;Installation et maintenance en nautisme;;;;;;
I1602;292;326;Maintenance d'aéronefs;;;;;;
I1603;584;327;Maintenance d'engins de chantier, levage, manutention et de machines agricoles;;;;;;
I1604;285;328;Mécanique automobile et entretien de véhicules;;;;;;
I1605;283;329;Mécanique de marine;;;;;;
I1606;290;330;Réparation de carrosserie;;;;;;
I1607;287;331;Réparation de cycles, motocycles et motoculteurs de loisirs;;;;;;
J1101;295;332;Médecine de prévention;;;O;;;
J1102;297;333;Médecine généraliste et spécialisée;;;O;;;
J1103;301;334;Médecine dentaire;;;O;;;
J1104;304;335;Suivi de la grossesse et de l'accouchement;;;O;;;
J1105;30064;404041;Médecin coordonnateur;;;O;O;O;J1102
J1201;306;336;Biologie médicale;;;O;;;
J1202;309;337;Pharmacie;;;O;;;
J1301;316;338;Agent / Agente de service hospitalier (ASH);;;;N;N;J1301
J1302;325;339;Analyses médicales;;;O;;;
J1303;319;340;Assistance médico-technique;;;;;;
J1304;314;341;Auxiliaire de puériculture;;N;N;O;N;J1304
J1305;321;342;Conduite de véhicules sanitaires;;;;;;
J1306;328;343;Imagerie médicale;;;O;;;
J1307;323;344;Préparation en pharmacie;;;O;;;
J1308;30059;404042;Brancardier / Brancardière;;;;;;J1301
J1309;30065;404043;Agent / Agente de stérilisation de service hospitalier;;N;N;N;N;J1301
J1401;335;345;Audioprothèses;;;O;;;
J1402;338;346;Diététique;;;O;;;
J1403;340;347;Ergothérapie;;;O;;;
J1404;331;348;Kinésithérapie;;;O;;;
J1405;341;349;Optique - lunetterie;;;O;;;
J1406;342;350;Orthophonie;;;O;;;
J1407;343;351;Orthoptique;;;O;;;
J1408;333;352;Ostéopathie et chiropraxie;;;O;;;
J1409;344;353;Pédicurie et podologie;;;O;;;
J1410;345;354;Prothèses dentaires;;;O;;;
J1411;346;355;Prothèses et orthèses;;;O;;;
J1412;347;356;Rééducation en psychomotricité;;;O;;;
J1501;349;357;Aide-soignant / Aide-soignante;;N;O;O;N;J1501
