UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0590184E;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage;32211020116;211;Apprentissage;10
0590184E;BTS - Services - Photographie;32211032325;336;Scolaire;26
0590184E;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;1224;Scolaire;13
0590184E;BTS - Services - Métiers de l'audio-visuel opt : métiers du son;32211032330;759;Scolaire;13
0590184E;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;32211032332;1096;Scolaire;13
0590184E;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;32211032331;312;Scolaire;13
0590184E;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;32211032328;388;Scolaire;13
0590185F;BTS - Services - Support à l'action managériale;32211032409;283;Scolaire;32
0590185F;BTS - Services - Management Commercial Opérationnel;32211031213;815;Scolaire;35
0590185F;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;733;Scolaire;32
0590185F;BTS - Services - Assurance;32211031311;482;Scolaire;32
0590185F;BTS - Services - Comptabilité et gestion;32211031408;347;Scolaire;32
0590192N;BTS - Services - Comptabilité et gestion;32211031408;554;Scolaire;35
0741710G;BTS - Services - Gestion de la PME - en apprentissage;32211031409;67;Apprentissage;25
0741710G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;144;Apprentissage;25
0141991N;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;26;Apprentissage;24
0300002P;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;24;Apprentissage;8
0731519E;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;65;Apprentissage;24
0492451Y;BTS - Services - Métiers de l'audio-visuel opt : métiers du son - en apprentissage;32211032330;209;Apprentissage;8
0741781J;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;81;Apprentissage;10
0061610T;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;58;Apprentissage;20
0061610T;BTS - Services - Gestion de la PME - en apprentissage;32211031409;71;Apprentissage;20
0061610T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;140;Apprentissage;20
0061610T;BTS - Services - Professions immobilières - en apprentissage;32211031309;162;Apprentissage;20
0831774C;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;84;Apprentissage;40
0830662U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;84;Apprentissage;15
