Rentrée scolaire;UAI;Mef Bcp 11;Nombre d'élèves : Total
2020;0130072H;23220034405;24
2020;0130072H;23810025510;54
2020;0130072H;23820025515;45
2020;0130143K;23810025510;15
2020;0130146N;23210023324;10
2020;0130146N;23220025524;20
2020;0130146N;23810025218;34
2020;0130146N;23810031211;23
2020;0130146N;23820023205;4
2020;0130146N;23820031213;11
2020;0130146N;23830025214;11
2020;0130146N;23830025408;6
2020;0130146N;23830031107;18
2020;0130150T;23210025218;10
2020;0130150T;23210025524;12
2020;0130150T;23210033616;13
2020;0130150T;23220025218;7
2020;0130150T;23810025408;5
2020;0130150T;23810025510;10
2020;0130150T;23830025214;8
2020;0130151U;23210022142;11
2020;0130151U;23210033204;12
2020;0130151U;23820033004;35
2020;0130157A;23820024203;13
2020;0130161E;23220025437;12
2020;0130161E;23810025516;15
2020;0130161E;23810033005;29
2020;0130161E;23820025411;15
2020;0130161E;23830025510;29
2020;0130171R;23220022714;12
2020;0130171R;23220025434;5
2020;0130171R;23220025524;12
2020;0130171R;23810025218;21
2020;0130171R;23810025510;13
2020;0130171R;23820025411;29
2020;0130171R;23820025509;15
2020;0130172S;23210025137;13
2020;0130172S;23810033104;16
2020;0130172S;23820032208;15
2020;0130172S;23830032208;10
2020;0130172S;23C20022316;10
2020;0131339K;32211031408;29
2020;0131391S;23220025524;13
2020;0131391S;23810025510;19
2020;0131391S;23820025515;18
2020;0131398Z;32211031103;43
2020;0131398Z;32211031408;38
2020;0131402D;23810031211;29
2020;0131402D;23830031202;26
2020;0131402D;23910033413;10
2020;0131402D;32211032612;34
2020;0131402D;32221031212;18
2020;0131402D;32221031310;18
2020;0131402D;32221032409;24
2020;0131402D;32221032611;19
2020;0131402D;32A31031403;27
2020;0131403E;23210031224;16
2020;0131403E;23810031211;14
2020;0131403E;23830030001;14
2020;0131403E;23830031206;19
2020;0131424C;23820031213;6
2020;0131424C;23830031202;15
2020;0131432L;23110031117;24
2020;0131432L;23220031122;14
2020;0131432L;23810030003;8
2020;0131432L;23810031107;12
2020;0131433M;23110023327;3
2020;0131433M;23210023002;7
2020;0131433M;23810025516;4
2020;0131433M;23910022704;5
2020;0131434N;23220025524;21
2020;0131434N;23910022701;12
2020;0131441W;23820031212;21
2020;0131441W;23820031214;15
2020;0131445A;23210033411;25
2020;0131445A;23220031216;13
2020;0131445A;23220033411;20
2020;0131445A;23820031214;14
2020;0131445A;23830031202;29
2020;0131456M;23810033404;23
2020;0131456M;23830033004;47
2020;0131463V;23810022404;4
2020;0131463V;23810025007;5
2020;0131484T;23220022139;10
2020;0131484T;23830030001;9
2020;0131484T;23830031202;17
2020;0131485U;23210033615;18
2020;0131485U;23220033411;11
2020;0131485U;23820033603;18
2020;0131485U;23830020002;11
2020;0131549N;32211031212;48
2020;0131549N;32221031212;28
2020;0131606A;23810024203;24
