Rentrée scolaire,Académie 2020,Académie 2020 Lib L,UAI,Patronyme,Adresse condensée,Code postal,Commune d'implantation,Commune d'implantation Lib L,Commune et arrondissement,Commune et arrondissement Lib L,Secteur d'enseignement Lib L,Mef Bcp 11,Mef Bcp 11 Lib L,Mef Bcp 6,Mef Bcp 6 Lib L,Nombre d'élèves : Total,Nombre d'élèves : Filles,Nombre d'élèves : Garçons
2024.0,10.0,LYON,0011118K,GABRIEL VOISIN,G VOISIN AV DE JASSERON,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23830031106,TLE PRO3 LOGISTIQUE (Nouveau),238300,BAC PRO EN 3 ANS : TERMINALE PRO,14.0,3.0,11.0
2024.0,10.0,LYON,0011118K,GABRIEL VOISIN,G VOISIN AV DE JASSERON,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23830031114,TLEPRO ORGANIS. TRANSPORT MARCHANDISES,238300,BAC PRO EN 3 ANS : TERMINALE PRO,16.0,8.0,8.0
2024.0,10.0,LYON,0011118K,GABRIEL VOISIN,G VOISIN AV DE JASSERON,1001.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32221031103,2BTS2  GEST. TRANSP. & LOGIST. ASSOCIEE,322210,BTS EN 2 ANS : 2EME ANNEE,19.0,2.0,17.0
2024.0,10.0,LYON,0011119L,ARBEZ CARME,ARBEZ CARME 1 R P ET M CURIE,1100.0,01031,BELLIGNAT,01031,BELLIGNAT,SECTEUR PUBLIC,23210032225,1CAP2 SERIGRAPHIE INDUSTRIELLE,232100,CAP EN 2 ANS : 1ERE ANNEE,14.0,7.0,7.0
2024.0,10.0,LYON,0011119L,ARBEZ CARME,ARBEZ CARME 1 R P ET M CURIE,1100.0,01031,BELLIGNAT,01031,BELLIGNAT,SECTEUR PUBLIC,23220020101,2CAP2  CONDUCT. INSTALLATIONS PRODUCTION,232200,CAP EN 2 ANS : 2EME ANNEE,9.0,0.0,9.0
2024.0,10.0,LYON,0011119L,ARBEZ CARME,ARBEZ CARME 1 R P ET M CURIE,1100.0,01031,BELLIGNAT,01031,BELLIGNAT,SECTEUR PUBLIC,23810020103,2NDPRO MET.REAL.ENS.MEC.IND.2NDE COMMUNE,238100,BAC PRO EN 3 ANS : 2NDE PRO,14.0,0.0,14.0
2024.0,10.0,LYON,0011119L,ARBEZ CARME,ARBEZ CARME 1 R P ET M CURIE,1100.0,01031,BELLIGNAT,01031,BELLIGNAT,SECTEUR PUBLIC,23820020009,1ERPRO MODELISATION ET PROTOTYPAGE 3D,238200,BAC PRO EN 3 ANS : 1ERE PRO,14.0,0.0,14.0
2024.0,10.0,LYON,0011119L,ARBEZ CARME,ARBEZ CARME 1 R P ET M CURIE,1100.0,01031,BELLIGNAT,01031,BELLIGNAT,SECTEUR PUBLIC,23820022503,1RE PRO3 PLASTIQUES ET COMPOSITES,238200,BAC PRO EN 3 ANS : 1ERE PRO,14.0,1.0,13.0
2024.0,10.0,LYON,0011119L,ARBEZ CARME,ARBEZ CARME 1 R P ET M CURIE,1100.0,01031,BELLIGNAT,01031,BELLIGNAT,SECTEUR PUBLIC,23830025013,TLEPRO TEC.REAL.PR.MEC.OP.REAL.MAI.OUT.,238300,BAC PRO EN 3 ANS : TERMINALE PRO,14.0,0.0,14.0
2024.0,10.0,LYON,0011119L,ARBEZ CARME,ARBEZ CARME 1 R P ET M CURIE,1100.0,01031,BELLIGNAT,01031,BELLIGNAT,SECTEUR PUBLIC,32221020009,2BTS2  CONCEPTION PRODUITS INDUSTRIELS,322210,BTS EN 2 ANS : 2EME ANNEE,5.0,0.0,5.0
