UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0692955M,BTS - Services - Gestion de la PME - en apprentissage,32211031409,191.0,Apprentissage,20.0
0694365V,Certificat de Spécialisation - Accueil dans les transports - en apprentissage,23K00031101,22.0,Apprentissage,15.0
0694365V,BTS - Services - Tourisme - en apprentissage,32211033426,158.0,Apprentissage,15.0
0831770Y,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,82.0,Apprentissage,15.0
0831769X,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,50.0,Apprentissage,15.0
0333405X,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,71.0,Apprentissage,25.0
0422160V,Certificat de Spécialisation - Organisateur de réception - en apprentissage,23K00033412,27.0,Apprentissage,12.0
0942461P,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,68.0,Apprentissage,25.0
0942461P,BTS - Services - Support à l'action managériale - en apprentissage,32211032409,32.0,Apprentissage,20.0
9740679V,BTS - Services - Tourisme,32211033426,269.0,Scolaire,15.0
0632002J,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage,32211033608,40.0,Apprentissage,24.0
0401016M,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,110.0,Apprentissage,20.0
0672959C,BTS - Services - Services informatiques aux organisations - en apprentissage,32211032612,73.0,Apprentissage,15.0
0672959C,BTS - Services - Gestion de la PME - en apprentissage,32211031409,12.0,Apprentissage,15.0
0672959C,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,17.0,Apprentissage,15.0
0682064Z,BTS - Services - Gestion des transports et logistique associée - en apprentissage,32211031103,52.0,Apprentissage,20.0
0694089V,"BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage",32211022711,78.0,Apprentissage,30.0
0573801X,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,23.0,Apprentissage,10.0
0380034F,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,717.0,Apprentissage,16.0
0590258K,BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage,32211031216,197.0,Apprentissage,32.0
0590121L,BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune - en apprentissage,32211032209,235.0,Apprentissage,13.0
0590122M,BTS - Production - Bioanalyses en laboratoire de contrôle,32211022209,728.0,Scolaire,30.0
0590122M,BTS - Production - Biotechnologie en recherche et en production,32211022210,329.0,Scolaire,30.0
0590122M,BTS - Services - Services et prestations des secteurs sanitaire et social,32211033002,570.0,Scolaire,35.0
