MEF,FORMATION_DIPLOME,MEF_STAT_11
3112230722,32022307,32221022307
3112540821,32025408,32211025408
2213340511,42033405,22123133405
3112220121,32022201,32211022201
2223340511,42033405,22133133405
2213340611,42033406,22123133406
2412520721,50025207,23210025207
2412520722,50025207,23220025207
2412520821,50025208,23210025208
2412520822,50025208,23220025208
2412520922,50025209,23220025209
2412270921,50022709,23210022709
2412270922,50022709,23220022709
2412510921,50025109,23210025109
2412510922,50025109,23220025109
2422510933,50025109,23330025109
2412511021,50025110,23210025110
2412511022,50025110,23220025110
2422511033,50025110,23330025110
2412200321,50022003,23210022003
2413310121,50033101,23210033101
2413310122,50033101,23220033101
2413310421,50033104,23210033104
2413360121,50033601,23210033601
2413360122,50033601,23220033601
2413360421,50033604,23210033604
2413360422,50033604,23220033604
2413360521,50033605,23210033605
2413360621,50033606,23210033606
2413360622,50033606,23220033606
2413360721,50033607,23210033607
2212230911,42022309,22123122309
2423360733,50033607,23330033607
3102501311,32025013,32111025013
2413360821,50033608,23210033608
2413360822,50033608,23220033608
1101000121,61010001,21210010001
2423360833,50033608,23330033608
2413360922,50033609,23220033609
2423360933,50033609,23330033609
2423340133,50033401,23330033401
2413340421,50033404,23210033404
2413340422,50033404,23220033404
2412212221,50022122,23210022122
2412212222,50022122,23220022122
2413340521,50033405,23210033405
2463120222,40031202,23720031202
2463110221,40031102,23710031102
2463110222,40031102,23720031102
2462420122,40024201,23720024201
2462340321,40023403,23710023403
2462340322,40023403,23720023403
2462420222,40024202,23720024202
2462510321,40025103,23710025103
2462510322,40025103,23720025103
2463210121,40032101,23710032101
2462320221,40023202,23710023202
2462320222,40023202,23720023202
2463230121,40032301,23710032301
2463340121,40033401,23710033401
2463340122,40033401,23720033401
2463430121,40034301,23710034301
2463430122,40034301,23720034301
2452199911,40021999,23610021999
2452299911,40022999,23610022999
2452599911,40025999,23610025999
2453299911,40032999,23610032999
2452499911,40024999,23610024999
2453199911,40031999,23610031999
2453399911,40033999,23610033999
2452099911,40020999,23610020999
2453499911,40034999,23610034999
2459999911,40099999,23610099999
7439999911,48199999,44410099999
7519999911,48299999,46210099999
7529999911,38299999,46310099999
2402234811,50022348,23110022348
2412241521,50022415,23210022415
2412241522,50022415,23220022415
2412241621,50022416,23210022416
2412241622,50022416,23220022416
2412241722,50022417,23220022417
2113100111,43031001,22122231001
2123100211,43031002,22132231002
2212110111,42021101,22123121101
2222110111,42021101,22133121101
2223340111,42033401,22133133401
2212300211,42023002,22123123002
2222300211,42023002,22133123002
2212310111,42023101,22123123101
2222310111,42023101,22133123101
2212330111,42023301,22123123301
2222330111,42023301,22133123301
2212330211,42023302,22123123302
2222330211,42023302,22133123302
2212230111,42022301,22123122301
2222230111,42022301,22133122301
2212230211,42022302,22123122302
2222230211,42022302,22133122302
1619999944,55099999,24160099999
2021100811,47011008,22131811008
1639999941,55099999,24230099999
1639999943,55099999,24250099999
1639999944,55099999,24260099999
1101000122,61010001,21220010001
1101000222,61010002,21220010002
1101000321,61010003,21210010003
1101000322,61010003,21220010003
1101000421,61010004,21210010004
1101000422,61010004,21220010004
1101000521,61010005,21210010005
7002199911,58321999,41110021999
7002399911,58323999,41110023999
7002299911,58322999,41110022999
7002599911,58325999,41110025999
7002499911,58324999,41110024999
7003399911,58333999,41110033999
7002099911,58320999,41110020999
7003499911,58334999,41110034999
7009999911,58399999,41110099999
1111000111,62010001,21310010001
2223340611,42033406,22133133406
2212420711,42024207,22123124207
2222420711,42024207,22133124207
2212420811,42024208,22123124208
2222420811,42024208,22133124208
2212420911,42024209,22123124209
2222420911,42024209,22133124209
2212230511,42022305,22123122305
2222230511,42022305,22133122305
2212340611,42023406,22123123406
2222340611,42023406,22133123406
2212230611,42022306,22123122306
2222230611,42022306,22133122306
2212230711,42022307,22123122307
2222230711,42022307,22133122307
2212230811,42022308,22123122308
2222230911,42022309,22133122309
2212231011,42022310,22123122310
2222231011,42022310,22133122310
2212240511,42022405,22123122405
2222240511,42022405,22133122405
2212420411,42024204,22123124204
2222420411,42024204,22133124204
2212340711,42023407,22123123407
2512340821,40123408,23C10023408
2512340822,40123408,23C20023408
2512231222,40122312,23C20022312
2512231321,40122313,23C10022313
2512231322,40122313,23C20022313
2212340911,42023409,22123123409
2222340911,42023409,22133123409
2412330722,50023307,23220023307
2412330121,50023301,23210023301
2412330122,50023301,23220023301
2412330821,50023308,23210023308
2412330822,50023308,23220023308
2413340522,50033405,23220033405
2413340622,50033406,23220033406
2413340721,50033407,23210033407
2413340722,50033407,23220033407
3102310911,32023109,32111023109
2413340221,50033402,23210033402
2413340222,50033402,23220033402
2423340233,50033402,23330033402
2412212321,50022123,23210022123
2412212322,50022123,23220022123
2413440121,50034401,23210034401
2413440122,50034401,23220034401
2423300133,50033001,23330033001
2409999911,50099999,23110099999
3112340122,32023401,32221023401
3112340221,32023402,32211023402
3112340222,32023402,32221023402
3112340321,32023403,32211023403
